0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
27.5,d_19870801,66.7,59.7,47.4,35,18.9,0,5.9,1.4,0.1,0,0
31.5,d_19870901,65.3,57.1,40.7,27,12.3,0,3.2,0.9,0,0,0
33.5,d_19871001,64.4,56.2,29.8,17.8,5.3,0,1.9,0.3,0,0,0
40.7,d_19871101,50.1,31,10.2,3.5,0,0,9.2,2.2,0,0,0
46.4,d_19871201,34.4,18.2,3.5,0.1,0,0,19.3,6.7,0.9,0.1,0
52.9,d_19880101,20,7.3,0,0,0,0,27.1,10.9,0.8,0,0
56.7,d_19880201,25.7,11.5,1.9,0,0,0,17.7,6.1,0.7,0,0
54.3,d_19880301,8.7,0.9,0,0,0,0,37.1,19.6,1.9,0.3,0
33.5,d_19880401,49.1,27,3.3,0.2,0,0,17.3,8.1,1.2,0.2,0
16.9,d_19880501,83,64.4,22,4.7,0,0,0.1,0,0,0,0
0.2,d_19880601,99.9,95,72.1,47.7,15.1,0,0,0,0,0,0
0.2,d_19880701,99.8,98,79.7,55.6,26.7,0,0,0,0,0,0
0.3,d_19880801,99.8,96.9,74.2,51.6,23.9,0,0,0,0,0,0
2.9,d_19880901,97.1,92.3,64.9,40.2,16.1,0,0,0,0,0,0
0.9,d_19881001,99,94.9,70.5,47.8,22.1,0,0,0,0,0,0
17,d_19881101,83,62.9,28.8,14.1,4.9,0,0,0,0,0,0
18.8,d_19881201,81.1,60.8,24.5,11.2,3.4,0,0,0,0,0,0
22.1,d_19890101,77.8,58.2,26.1,10.9,2.8,0,0.1,0,0,0,0
43.6,d_19890201,55.7,35,10.6,3.1,0,0,0.8,0.1,0,0,0
64.9,d_19890301,17.8,4.3,0,0,0,0,17.3,6.3,0,0,0
66.4,d_19890401,16.3,4.5,0,0,0,0,17.3,5.7,0,0,0
64,d_19890501,17.1,10.4,0.6,0,0,0,18.8,5.5,0,0,0
44,d_19890601,54.3,32,17.7,11.3,4.3,0,1.8,0.7,0.1,0,0
44.6,d_19890701,55,28.8,10.5,5.4,0,0,0.4,0,0,0,0
28.1,d_19890801,71.6,60.2,30.8,16.6,2.3,0,0.3,0,0,0,0
17.7,d_19890901,82.1,70.5,50.2,33.1,20.1,0,0,0,0,0,0
16.1,d_19891001,83.9,64.2,32.3,19.5,7.6,0,0,0,0,0,0
16.2,d_19891101,83.9,62,32,16.2,5.7,0,0,0,0,0,0
6.6,d_19891201,93.3,77.5,42,25.7,9.9,0,0,0,0,0,0
16.7,d_19900101,83.3,63,29.5,14.8,5.3,0,0,0,0,0,0
8.9,d_19900201,91,81.1,53.7,36.2,19.5,0,0,0,0,0,0
35.3,d_19900301,62.2,43.4,22.7,13.1,2.6,0,2.5,0.6,0,0,0
47.6,d_19900401,51.1,37.7,17,5.7,0.1,0,1.4,0,0,0,0
50,d_19900501,48.6,29.1,6.7,2.7,0.2,0,1.4,0,0,0,0
28.1,d_19900601,8.5,2.3,0,0,0,0,63.6,47.7,17.3,6.1,0.6
43.3,d_19900701,8.7,5.3,0.8,0,0,0,48,27.5,11.1,6,0.8
16,d_19900801,6,2.7,0.6,0.1,0,0,78,66.4,37.7,18.5,3.1
17.4,d_19900901,0.5,0.1,0,0,0,0,82,68.6,35.1,15,1.8
11.1,d_19901001,0,0,0,0,0,0,88.9,71.3,32.3,11.2,1.3
14.7,d_19901101,0,0,0,0,0,0,85.4,67.3,25.2,7.7,0.8
25.1,d_19901201,0.2,0,0,0,0,0,74.7,51.9,15.5,4,0
30,d_19910101,0.4,0,0,0,0,0,69.6,46.2,15.9,4.7,0.4
42.8,d_19910201,0,0,0,0,0,0,57.2,32.8,6.6,1,0
66.7,d_19910301,5,1.2,0,0,0,0,28.4,12.4,1.5,0,0
22.4,d_19910401,1.9,1.1,0.2,0,0,0,75.9,44.7,13.6,5.6,0
44,d_19910501,0.9,0.1,0,0,0,0,55.1,36.7,25.5,15.5,4.9
39.2,d_19910601,6.9,2,0,0,0,0,53.9,41.5,17.5,8.1,1.9
35.6,d_19910701,0.7,0.1,0,0,0,0,63.7,45.7,24.4,10,1.5
43,d_19910801,3.5,0.6,0,0,0,0,53.5,37.3,12.4,1.2,0
37,d_19910901,7.8,1.1,0,0,0,0,55.2,39.5,24,15.9,2.9
27.2,d_19911001,0.7,0,0,0,0,0,72.1,54.1,27.1,14.3,1.2
5.4,d_19911101,0,0,0,0,0,0,94.6,85.8,62.7,44.5,24
9.3,d_19911201,0,0,0,0,0,0,90.7,79.5,51.3,29.2,13.8
19.7,d_19920101,0,0,0,0,0,0,80.4,65.8,34.2,20.2,11.2
27,d_19920201,0.5,0,0,0,0,0,72.6,51.1,19.5,14,4.6
7.9,d_19920301,0,0,0,0,0,0,92.2,71.6,21.4,9.6,2.6
15.1,d_19920401,0,0,0,0,0,0,84.8,62.1,24.4,8.8,0.1
16.1,d_19920501,0,0,0,0,0,0,83.8,61.7,26.2,12.2,2.7
63.5,d_19920601,4.6,0,0,0,0,0,31.9,10.4,0,0,0
58.3,d_19920701,17.9,10.8,3.2,0.1,0,0,24,13.7,3.2,0,0
16.9,d_19920801,83.1,68,30.1,11.8,2.4,0,0,0,0,0,0
56.4,d_19920901,41.3,21,3.5,0,0,0,2.4,0.5,0,0,0
54.9,d_19921001,44.5,25.1,2.6,0,0,0,0.6,0,0,0,0
64.5,d_19921101,17.6,5,0,0,0,0,17.9,3.7,0,0,0
65,d_19921201,13.8,1,0,0,0,0,21.2,5,0,0,0
59.7,d_19930101,17.4,4.5,0,0,0,0,22.9,5.6,0,0,0
46.9,d_19930201,11.5,1.2,0,0,0,0,41.6,18.3,0.8,0,0
37.2,d_19930301,6.7,0.7,0,0,0,0,56.2,38.8,17.4,5.8,0.6
20.6,d_19930401,12.7,5.9,0,0,0,0,66.6,61.1,40.2,21.4,4.7
20.5,d_19930501,0,0,0,0,0,0,79.5,71.1,60.6,45.7,25.2
7.5,d_19930601,0,0,0,0,0,0,92.5,84.9,71.9,60.2,41.5
11.6,d_19930701,0,0,0,0,0,0,88.4,77.4,67.3,63.6,57.1
21.8,d_19930801,1.1,0,0,0,0,0,77.2,71.3,63,55.9,39.4
25,d_19930901,2.5,0,0,0,0,0,72.6,67.4,57.4,42.2,20.4
26.2,d_19931001,5.7,0.5,0,0,0,0,68.1,62.6,40.7,24.1,11.1
26.4,d_19931101,0.7,0,0,0,0,0,72.7,64.4,41.2,22.7,9.9
24.7,d_19931201,0.2,0,0,0,0,0,75.2,65,37.7,18.7,4.2
34,d_19940101,0.6,0,0,0,0,0,65.4,50.7,20,7.7,0.3
27.5,d_19940201,12,4,0,0,0,0,60.5,41.2,14.3,6.9,1
53.3,d_19940301,36.3,24.3,5.5,0.8,0,0,10.3,3.7,0,0,0
53.5,d_19940401,43.4,18,1,0,0,0,3.1,0.5,0,0,0
12.9,d_19940501,87,71.1,22,4,0,0,0,0,0,0,0
12.1,d_19940601,87.9,74.6,35.5,17.9,1.4,0,0,0,0,0,0
47.1,d_19940701,49.9,31.1,7.4,1.5,0,0,2.8,0.2,0,0,0
52,d_19940801,40.1,28,7.9,2.4,0,0,7.8,2.1,0,0,0
57.4,d_19940901,10.7,3.4,0.7,0,0,0,31.9,13.4,0.5,0,0
62.3,d_19941001,17,8,0.7,0,0,0,20.7,4.7,0,0,0
60.7,d_19941101,15.3,8.1,0.4,0,0,0,24,6,0,0,0
63.1,d_19941201,12.7,5.3,0,0,0,0,24.2,7.7,0.3,0,0
65.3,d_19950101,24.9,10.6,1.1,0.2,0,0,9.8,0.5,0,0,0
63.6,d_19950201,14,3.9,0.1,0,0,0,22.3,6.5,0,0,0
60.4,d_19950301,5.5,0.8,0,0,0,0,34.1,15,1,0,0
46.5,d_19950401,24.1,12.5,0.3,0,0,0,29.4,11.5,0.5,0,0
43.6,d_19950501,26.4,16.8,4.7,0.9,0,0,30,11.8,2,0.4,0
