year,winner,lifespan,novel,publisher,author_origin,author_sex
1992,Jane Smiley,(b. 1949),A Thousand Acres,Alfred A. Knopf (1991),California,f
1993,Robert Olen Butler,(b. 1945),A Good Scent from a Strange Mountain,Henry Holt (1992),Illinois,m
1994,E. Annie Proulx,(b. 1935),The Shipping News,Charles Scribner's Sons (1993),Connecticut,f
1995,Carol Shields,(1935–2005),The Stone Diaries,Random House (1993),Illinois,f
1996,Richard Ford,(b. 1944),Independence Day,Alfred A. Knopf (1995),Mississippi,m
1997,Steven Millhauser,(b. 1943),Martin Dressler: The Tale of an American Dreamer,Crown Publishers (1996),New York,m
1998,Philip Roth,(1933–2018),American Pastoral,Houghton Mifflin (1997),New Jersey,m
1999,Michael Cunningham,(b. 1952),The Hours,"Farrar, Straus and Giroux (1998)",Ohio,m
2000,Jhumpa Lahiri,(b. 1967),Interpreter of Maladies,Houghton Mifflin (1999),Rhode Island,f
2001,Michael Chabon,(b. 1963),The Amazing Adventures of Kavalier & Clay,Random House (2000),"Washington, D.C.",m
2002,Richard Russo,(b. 1949),Empire Falls,Alfred A. Knopf (2001),New York,m
2003,Jeffrey Eugenides,(b. 1960),Middlesex,"Farrar, Straus and Giroux (2002)",Michigan,m
2004,Edward P. Jones,(b. 1950),The Known World,Amistad Press (2003),"Washington, D.C.",m
2005,Marilynne Robinson,(b. 1943),Gilead,"Farrar, Straus and Giroux (2004)",Idaho,f
2006,Geraldine Brooks,(b. 1955),March,Viking Press (2005),New York,f
2007,Cormac McCarthy,(b. 1933),The Road,Alfred A. Knopf (2006),Rhode Island,m
2008,Junot Díaz,(b. 1968),The Brief Wondrous Life of Oscar Wao,Riverhead Books (2007),New Jersey,m
2009,Elizabeth Strout,(b. 1956),Olive Kitteridge[k],Random House (2008),Maine,f
2010,Paul Harding,(b. 1967),Tinkers[l],Bellevue Literary Press (2009),Massachusetts,m
2011,Jennifer Egan,(b. 1962),A Visit from the Goon Squad[m],Alfred A. Knopf (2010),Illinois,f
2012,,,,,,
2013,Adam Johnson,(b. 1967),The Orphan Master's Son[n],Random House (2012),South Dakota,m
2014,Donna Tartt,(b. 1963),The Goldfinch[o],"Little, Brown and Company (2013)",Mississippi,f
2015,Anthony Doerr,(b. 1973),All the Light We Cannot See[p],Charles Scribner's Sons (2014),Ohio,m
2016,Viet Thanh Nguyen,(b. 1971),The Sympathizer[q],Grove Press (2015),California,m
2017,Colson Whitehead,(b. 1969),The Underground Railroad[r],Doubleday (2016),New York,m
2018,Andrew Sean Greer,(b. 1970),Less[s],"Little, Brown and Company (2017)","Washington, D.C.",m
2019,Richard Powers,(b. 1957),The Overstory[t],W. W. Norton & Company (2018),Illinois,m
2020,Colson Whitehead,(b. 1969),The Nickel Boys[u],Doubleday (2019),New York,m
2021,Louise Erdrich,(b. 1954),The Night Watchman[v],Harpercollins (2020),Minnesota,f
